beer_beerid,beer_style,beer_style_id,beer_name
47986,Hefeweizen,65,Sausa Weizen
48213,English Strong Ale,51,Red Moon
48215,Foreign / Export Stout,59,Black Horse Black Beer
47969,German Pilsener,61,Sausa Pils
64883,American Double / Imperial IPA,9,Cauldron DIPA
52159,Herbed / Spiced Beer,66,Caldera Ginger Beer
436,Light Lager,76,Amstel Light
10789,Oatmeal Stout,83,Caldera Oatmeal Stout
12386,American Pale Lager,15,Caldera OBF 15
58046,Rauchbier,87,Rauch Ür Bock
25414,American Pale Ale (APA),14,Caldera Pale Ale
10788,American Porter,17,Pilot Rock Porter
58920,Belgian Strong Dark Ale,25,Vas Deferens Ale
10784,American IPA,12,Caldera IPA
21241,American Stout,18,Cauldron Espresso Stout
20818,Russian Imperial Stout,89,Old Growth Imperial Stout
10786,American Amber / Red Ale,2,Dry Hop Red
10794,American Strong Ale,19,Southside Strong
54330,Märzen / Oktoberfest,82,Caldera Märzen
20817,American Adjunct Lager,1,Lawnmower Lager
61427,American Blonde Ale,6,Caldera Rose Petal (Kettle Series)
3386,Euro Pale Lager,53,Amstel Bright
55097,English Brown Ale,44,Nut Brown
2780,American Porter,17,The Captain's Porter
20689,Scotch Ale / Wee Heavy,94,The Highland Stagger
2725,American IPA,12,Swamp Fox IPA
33624,American IPA,12,Hoppin' To Heaven IPA
56071,American IPA,12,Hopportunity Knocks
10785,American Amber / Red Ale,2,Ashland Amber
76963,American Porter,17,Coconut Porter
23290,American Amber / Red Ale,2,Dry Hop Orange
49803,German Pilsener,61,Kirner Pils Premium
54723,American IPA,12,Alpha Beta
3274,German Pilsener,61,Caldera Pilsener Bier
60951,Fruit / Vegetable Beer,60,Hibiscus Ginger Beer
37917,Fruit / Vegetable Beer,60,Exotic Erotic Passion Fruit Ale
47695,Russian Imperial Stout,89,Barrel Aged B.O.R.I.S. Oatmeal Imperial Stout
42964,American Double / Imperial Stout,11,Imperial Stout
10793,American Strong Ale,19,Cauldron Brew
2724,Belgian Pale Ale,24,Inspiration Ale
72330,American Pale Ale (APA),14,Hop Hash
60990,American Porter,17,Mogli
45543,English Bitter,43,Welsh Pride
54216,English Bitter,43,Welsh Honey Bitter
39314,English Porter,49,Telford Porter
45855,English Bitter,43,Celebration Ale
45628,English Bitter,43,Honey Fayre
55951,American Double / Imperial IPA,9,Holiday Imperial
8769,American IPA,12,Columbus India Pale Ale
64800,American Strong Ale,19,Holiday XXII Imperial Blue
68668,Irish Dry Stout,67,Luck O' The Irish
68672,English Strong Ale,51,Old Oakland Ale
69087,American Blonde Ale,6,Yellowjacket Ale
64803,American Strong Ale,19,Megalodon
15894,American Barleywine,4,Code Blue
44082,American Porter,17,Orca Porter
39606,American Double / Imperial Stout,11,Leviathan Imperial Stout
31973,American Blonde Ale,6,Mt. Takhoma Blonde Ale
41584,Belgian Strong Pale Ale,26,Holiday Trappist Style Ale
12835,Doppelbock,37,Deviator Doppelbock
51834,American Amber / Red Ale,2,Blue Whale Ale
41084,American Pale Ale (APA),14,Grey Whale Ale
8770,American Stout,18,Killer Whale Stout
37498,American Amber / Red Ale,2,Emerald Ale
70395,Maibock / Helles Bock,78,Schinderhannes Bock
30090,Fruit / Vegetable Beer,60,City Razz
30084,Light Lager,76,City Light
30088,American Pale Ale (APA),14,City Pale Ale
27689,American Stout,18,City Stout
30089,Pumpkin Ale,85,City Pumpkin
30085,American Amber / Red Ale,2,City Amber
1415,Dortmunder / Export Lager,38,Amstel Gold
66308,Euro Strong Lager,54,Amstel Sterk (Strong)
1419,Euro Dark Lager,52,Amstel Oud Bruin
59239,Low Alcohol Beer,77,Amstel Malt
34801,Weizenbock,100,St. Stephen's Bock
20114,American Pale Ale (APA),14,North Beach Ale
20575,Hefeweizen,65,Hefeweizen
53679,American Double / Imperial IPA,9,Ballz Deep Double IPA
51814,American Pale Lager,15,Pacific Pilsner
33584,Euro Pale Lager,53,Amstel (Pure Filtered)
1417,Maibock / Helles Bock,78,Amstel Lentebock
1414,Euro Pale Lager,53,Amstel Lager
61726,American IPA,12,Hop Project #35
4371,Extra Special / Strong Bitter (ESB),55,Brown's Point ESB
1413,German Pilsener,61,Amstel 1870
1418,Bock,31,Amstel Bock
63220,American Porter,17,Viven Porter
23326,English India Pale Ale (IPA),46,Amber IPA
23329,Euro Pale Lager,53,Original Lager
23328,Altbier,0,Red Alt Ale
23327,Kölsch,73,Gosch
40395,Munich Dunkel Lager,80,Kollers Naturtrüb Dunkel
40394,German Pilsener,61,Kollers Naturtrüb Hell
27666,Herbed / Spiced Beer,66,Holiday Ale
26817,Pumpkin Ale,85,Pumpkin Ale
26133,American Stout,18,Dry Stout
27664,American IPA,12,Newark IPA
26419,Rye Beer,90,Red Rye Ale
26418,American Pale Wheat Ale,16,Wheat Ale
26420,American Pale Ale (APA),14,Pale Ale
3825,Euro Pale Lager,53,Harboe Bjørnebryg (Bear Beer)
27799,Milk / Sweet Stout,79,Sweet Stout
26132,American IPA,12,IPA
52445,Euro Pale Lager,53,Nobu Special Reserve
36470,Euro Pale Lager,53,"Harboe Silver Beer 3,5%"
22808,Low Alcohol Beer,77,Harboe Den Glada Danskens Lättöl
36580,Euro Pale Lager,53,"Harboe Pilsner 2,8%"
22604,Euro Strong Lager,54,Harboe Bjørnebryg Extra Stark (Bear Beer Extra Strong)
38540,Euro Pale Lager,53,Harboe Kräftöl
23315,Euro Strong Lager,54,"Netto ""24"" Fødselsdags-Bryg"
36609,Euro Pale Lager,53,"Harboe Påskebryg 2,8%"
36484,Euro Pale Lager,53,"Harbroe Classic Beer 2,8%"
36720,Euro Pale Lager,53,"Harboe Pilsner 3,5%"
22615,Euro Pale Lager,53,Harboe Classic 110
42953,Schwarzbier,93,Skælskør Original Black
37175,Munich Dunkel Lager,80,Harboe Dunkel
49485,Vienna Lager,99,De 5 Gaarde Falle Høstbryg
22608,Euro Pale Lager,53,Harboe Julebryg
32179,Euro Pale Lager,53,Christian Firtal Guldøl
22609,Euro Strong Lager,54,Harboe Årgangssbryg
42573,Euro Pale Lager,53,"Harboe Bjørnebryg 2,8%"
20986,Euro Pale Lager,53,Christian Firtal
57800,Euro Strong Lager,54,Harboe Bear Beer Premium Strong Beer
37237,Euro Pale Lager,53,Harboe Premium Traditional Pilsner 4.6%
32368,American Amber / Red Lager,3,Harboe Red Beer
34739,Euro Pale Lager,53,Harboe Vib Pilsner Classic Landlord
70647,Euro Pale Lager,53,Dansk Pilsner
34738,Euro Pale Lager,53,Harboe Vib Pilsner Håndbajer
38233,Euro Pale Lager,53,Harboe Sommarbrygg
22616,Euro Pale Lager,53,Harboe Guldøl (Harboe Beer Gold)
22817,Euro Pale Lager,53,Harboe Pilsner
53959,Euro Pale Lager,53,"Harboe Classic 2,8%"
43516,American Amber / Red Lager,3,Amarillo Lager
43945,Scottish Ale,95,Replic Ale
10649,Witbier,103,Wheat Beer
13289,Märzen / Oktoberfest,82,Oktoberfest
66855,American Black Ale,5,Black IPA
65089,Saison / Farmhouse Ale,92,Winter Wheat
15475,English Brown Ale,44,Broad Ripple Diving Duck American Brown Ale
15476,American Stout,18,Broad Ripple Stout
