beer_beerid,beer_name,beer_style,distance
76540,Wet Hop Lager,American Pale Lager,0.12975677165324243
71013,Libertas,American Blonde Ale,0.12975677165324243
48654,Celtic Pride Irish Stout,Irish Dry Stout,0.13759038329001777
29592,Heavenly Cream Ale,American Blonde Ale,0.15029739702062656
19977,Primus,American Adjunct Lager,0.15110315085702497
27411,Barleywine,American Barleywine,0.15110315085702497
73134,Chocolate Witbier,Witbier,0.1549298438349205
66427,Saison Brewer's Reserve,Saison / Farmhouse Ale,0.16108981216576312
39629,Black Knight,Baltic Porter,0.16574550176887828
39130,Flatfoot Imperial IPA,American Double / Imperial IPA,0.16574550176887828
37954,Nessie,Scotch Ale / Wee Heavy,0.16574550176887828
35775,Black Fox Saison,Saison / Farmhouse Ale,0.16574550176887828
42954,Cask Buster Brown Ale,American Brown Ale,0.16574550176887828
49322,Helles Bock Beer,Maibock / Helles Bock,0.17123369819754597
64296,Bata Polotmavý Speciál 12°,Vienna Lager,0.17217033296483
74952,60 Shilling Mild,Scottish Ale,0.17217033296483
64272,Rychtá&#345; Natur 12°,Czech Pilsener,0.17217033296483
25327,Raging Rhino Red,American Amber / Red Ale,0.1727382926929937
69848,Slagsta Single Hop Ale,American IPA,0.17556928056890922
46602,Bourbon Barrel Imperial Stout,Russian Imperial Stout,0.17556928056890922
69850,Hoppy Blonde,Belgian Pale Ale,0.17556928056890922
29309,Firehole Steam,California Common / Steam Beer,0.17556928056890922
77316,Crank Yanker IPA,American IPA,0.17673054113926048
21102,Kharkhorin,English Brown Ale,0.17673054113926048
40889,South Plains Porter,English Porter,0.18037335974466623
33616,Konrad Jocker Svìtlý Leák 14°,Czech Pilsener,0.1812600292746871
74951,Brunch. Dinner. Grub.,American Brown Ale,0.1812600292746871
64261,&#268;erná Hora Tas,Czech Pilsener,0.1812600292746871
64241,Rychtá&#345;  Speciál 15°,Czech Pilsener,0.1812600292746871
76409,Kelso Quad Bock - Cabernet Barrel Aged,Doppelbock,0.1812600292746871
64246,Zlatá Jedenáctka 11°,Czech Pilsener,0.1812600292746871
64244,&#268;ertovský Speciál 16°,Euro Dark Lager,0.1812600292746871
58179,Bourbon Double Pale,English India Pale Ale (IPA),0.1812600292746871
58178,Session Mild,English Pale Mild Ale,0.1812600292746871
64243,Merlin &#268;erny,Munich Dunkel Lager,0.1812600292746871
64274,&#268;erná Hora Granat,Schwarzbier,0.1812600292746871
64273,Žamberecký Kanec 14°,Munich Dunkel Lager,0.1812600292746871
32284,Jamaican Stout,Foreign / Export Stout,0.18223563374535323
29328,Pumpkin Ale,Pumpkin Ale,0.18232200635317738
70862,Ipa 25,American IPA,0.18397112477196823
49088,Beachside High Tide,American Amber / Red Ale,0.18424766424969513
72914,Molly Coddle,English Pale Mild Ale,0.1852668882588706
69018,Bash-Bish Bock,Maibock / Helles Bock,0.18876640947763254
28828,Slipping Into Darkness,American Brown Ale,0.18909258055744124
57510,Patagonia Amber Lager,American Amber / Red Lager,0.19130193300408638
76752,Fox Tail Gluten Free Ale,American Pale Ale (APA),0.19130193300408638
57667,Honig Ale,Herbed / Spiced Beer,0.19130193300408638
41845,Cherry Bomb,Fruit / Vegetable Beer,0.19172690477084062
41493,Gosebier,Gose,0.19172690477084062
76743,X-Limited Edition 01,English Brown Ale,0.1918903871558843
59633,McCarthy's India Brown Ale,American Brown Ale,0.194623318510361
50979,Hubert's Dark Wheat,Dunkelweizen,0.194623318510361
46739,IPA3 Aka Cubed,American Double / Imperial IPA,0.194623318510361
46736,Cabo,Light Lager,0.194623318510361
59611,Oatmeal Stout,Oatmeal Stout,0.194623318510361
47722,Whitcomb Wit,Witbier,0.194623318510361
50954,Willimantic Hop River Tribute Ale,American Pale Ale (APA),0.194623318510361
