beer_beerid,beer_name,beer_style,distance
28382,Heritage Passion Brew,Fruit / Vegetable Beer,0.757739248574025
8655,Del Mar,American Adjunct Lager,0.7879047559638191
41822,Rock Light,Light Lager,0.7926421954168723
32789,McCafferty's Ale,Irish Red Ale,0.8088376014227223
1185,Dixie,American Adjunct Lager,0.8292556284701318
75062,Karpackie Mocne (Extra),Euro Strong Lager,0.8484809651010121
1790,Peroni Nastro Azzurro,Euro Pale Lager,0.8506727368620011
13770,Rock Green Light,Light Lager,0.855208514323243
61440,Švyturys Nefiltruotas Raw,Keller Bier / Zwickel Bier,0.8611191534235323
24580,Milwaukee Premium Brewing Company Classic Lager,American Adjunct Lager,0.872292184042678
13721,Stary Melnik Svetloye,Euro Pale Lager,0.8728854214103489
59477,Beer Beer,American Adjunct Lager,0.8733918879508158
40687,Anniversary Ale,American Strong Ale,0.8746976939169608
18052,Svyturys Ekstra,Euro Pale Lager,0.8790023901534053
42200,Blueberry Wheat Beer,Fruit / Vegetable Beer,0.882944210366729
52434,Pennsylvania Style Ice Premium Beer,American Adjunct Lager,0.8846265554885581
66074,16.0,American Strong Ale,0.8866185987942228
3734,Michelob Ultra,Light Lager,0.8952682505979905
34118,American Strong Ale,American Strong Ale,0.8972468547565018
246,Heineken Lager Beer,Euro Pale Lager,0.9027591084200481
48728,Hofbräu Light,Light Lager,0.9031802488509362
38631,Cerise Belgian Ale,Fruit / Vegetable Beer,0.9035147084010492
58105,River Rat Amber Ale,American Amber / Red Ale,0.9051089353306256
30520,J.R. Brickman Amber,American Amber / Red Ale,0.9113726099822912
25012,Dansberg,American Adjunct Lager,0.9134254863196949
34804,Landshark Lager,American Adjunct Lager,0.9178730122803942
59458,Babbbling Blonde,American Blonde Ale,0.9180633569113101
76090,Pong Beer Lite,Light Lager,0.9185727339742397
4002,Tooheys New,American Adjunct Lager,0.9306824516732278
43166,Bareville Pilsner,American Pale Lager,0.9332810352151426
4699,Baltika #5 Gold,Euro Pale Lager,0.9341882386468651
71107,Brahva,American Adjunct Lager,0.934460396211407
49302,Horny Goat Exposed,Saison / Farmhouse Ale,0.9355974881565937
31568,U Miel Pilsner,Euro Pale Lager,0.9379681910432341
56815,Best Of Show Twice In A Row Old Ale,Old Ale,0.9387465966017826
3008,Beck's Light,Light Lager,0.9398106856055521
37334,Bow Valley Lager,American Adjunct Lager,0.9425924977115813
65974,Mariachi,Light Lager,0.9458704257799029
58738,Obolon Soborne,German Pilsener,0.946555795055367
36729,XO Lager,Czech Pilsener,0.948561713853879
827,Sapporo Original Draft Beer,Japanese Rice Lager,0.9501575796962053
25010,Sapporo Light Beer,Light Lager,0.9605730015929408
56230,Lost Lake Naturally Brewed Pilsner,American Pale Lager,0.9610011502252402
10071,Sapporo Premium Beer,Japanese Rice Lager,0.9610394468257919
5844,National Bohemian Ice Beer,American Adjunct Lager,0.9614397154049302
7307,Carmel Wheat Beer,American Pale Wheat Ale,0.9633261628055214
29405,Anniversary Ale,American Pale Ale (APA),0.9649477749766477
11945,Imperial Stout,Russian Imperial Stout,0.9665935523649553
25789,Serena,Euro Pale Lager,0.9674963449905702
2570,E.B. Specjal,Euro Pale Lager,0.9699862400083314
3454,Martha's Peculiar Brown,English Brown Ale,0.9714812236016311
15460,Boris (Le Flacon D'Alsace),Euro Pale Lager,0.9722276996148499
5285,Old Style Pilsner,German Pilsener,0.9753158980561729
233,Corona Light,Light Lager,0.9770711794430583
47669,Ricochet Red,California Common / Steam Beer,0.9780120299028148
49817,Tall Tale Brown Ale,American Brown Ale,0.9780120299028148
41314,McFaddins Oatmeal Stout,Oatmeal Stout,0.9780120299028148
47626,Marzen,Märzen / Oktoberfest,0.9780120299028148
52093,Hercules Trippel,Tripel,0.9780120299028148
39133,Decadence 12,Quadrupel (Quad),0.9780120299028148
61051,Blue Cowrie,American Adjunct Lager,0.979011136569339
15727,Dunkelweizen,Dunkelweizen,0.9794256212980922
16125,Kiltlifter,Scottish Ale,0.9794256212980922
12885,Kenny The IPA,American IPA,0.9794256212980922
8702,Black Rock Stout,American Stout,0.9794256212980922
33188,Tesco's Finest French Wheat Beer,Witbier,0.980896410233791
65124,Maternus Gold,Euro Pale Lager,0.9810758509464431
29161,Harbin Lager,Euro Pale Lager,0.9811710772438921
18288,Ybor Gold Light,Light Lager,0.9812230575327116
6615,Premium Pils Beer,German Pilsener,0.9813186938681954
1408,IJ-Bock,Maibock / Helles Bock,0.9816970518927696
17431,Molson Canadian Cold Shots,American Adjunct Lager,0.9826739612698276
43465,Makedoniki Syntaghy,Euro Pale Lager,0.984376522192153
26937,Falls Pale Ale,American Pale Ale (APA),0.9885141692761543
67731,Stump Grinder Stout,Oatmeal Stout,0.9906630446724473
4579,Eichhof Lager,Munich Helles Lager,0.9911252301364385
7920,Menabrea Birra,Euro Pale Lager,0.9913141025970985
24592,Christmas Mortal,Belgian Strong Dark Ale,0.9921708823780636
35919,Omaha Jack's Pale Ale,American Pale Ale (APA),0.9929787159018767
7585,Banks Beer,American Adjunct Lager,0.9943587797058955
5287,Kirin Light Beer,Light Lager,0.9950738344100934
8768,Erebuni,Euro Pale Lager,0.995247085411864
37023,Ian's Pale Ale,American Pale Ale (APA),0.9964053905719396
16574,Pitfield Shoreditch Stout,English Stout,0.9973192727730823
22906,Special Bitter,Extra Special / Strong Bitter (ESB),0.9976805091413825
9332,Moosehead Dry Ice,American Adjunct Lager,0.9976878368040153
45470,Mutha Pucka,Lambic - Fruit,0.997814826572946
41291,Amarillo Red,American Amber / Red Ale,0.997814826572946
50477,Amber Dawn,American Amber / Red Ale,0.997814826572946
47632,New Holland Anniversary Ale,Belgian Strong Pale Ale,0.997814826572946
44564,Saison 1,Saison / Farmhouse Ale,0.997814826572946
