beer_style_id,distance,beer_style
76,1.1099599410548187,Light Lager
13,1.1275995715621214,American Malt Liquor
1,1.1297575576631953,American Adjunct Lager
77,1.201110689245409,Low Alcohol Beer
53,1.207315148608998,Euro Pale Lager
69,1.215566271498193,Japanese Rice Lager
15,1.221469086224398,American Pale Lager
54,1.226178350360052,Euro Strong Lager
64,1.2306162046475508,Happoshu
34,1.2390322348980334,Chile Beer
16,1.2499708133718321,American Pale Wheat Ale
6,1.2555683289776904,American Blonde Ale
3,1.258298743919617,American Amber / Red Lager
35,1.2585388928028138,Cream Ale
60,1.2651584731300936,Fruit / Vegetable Beer
71,1.2661146432899741,Kristalweizen
30,1.2677831324097157,Black & Tan
72,1.2838807700196617,Kvass
61,1.2866501136031108,German Pilsener
48,1.2929136847338765,English Pale Mild Ale
99,1.2938454926569534,Vienna Lager
52,1.2990592216158463,Euro Dark Lager
36,1.3012123319581155,Czech Pilsener
81,1.3018433025862548,Munich Helles Lager
2,1.3020007279702397,American Amber / Red Ale
68,1.3063071647810145,Irish Red Ale
38,1.307514675390439,Dortmunder / Export Lager
103,1.308812272423486,Witbier
65,1.3100143686480337,Hefeweizen
66,1.3142371594640323,Herbed / Spiced Beer
82,1.3165471388356123,Märzen / Oktoberfest
85,1.3174745595435624,Pumpkin Ale
96,1.319430487964978,Scottish Gruit / Ancient Herbed Ale
31,1.3214016601360483,Bock
73,1.321636138609264,Kölsch
14,1.3283936267405219,American Pale Ale (APA)
44,1.328921417624019,English Brown Ale
40,1.3293025736784383,Dunkelweizen
95,1.3297746138681514,Scottish Ale
33,1.330516185038057,California Common / Steam Beer
80,1.3308992219833111,Munich Dunkel Lager
22,1.332687003693588,Belgian Dark Ale
8,1.3329182667174297,American Dark Wheat Ale
47,1.3333972217496293,English Pale Ale
7,1.3372556816828516,American Brown Ale
24,1.3417575435707787,Belgian Pale Ale
18,1.3427707028325555,American Stout
90,1.343728123073341,Rye Beer
0,1.3452982605304613,Altbier
67,1.3453729844529083,Irish Dry Stout
102,1.3467717269092698,Winter Warmer
78,1.347517997186831,Maibock / Helles Bock
46,1.3487785364960572,English India Pale Ale (IPA)
39,1.3506551984279442,Dubbel
55,1.3568166727089077,Extra Special / Strong Bitter (ESB)
17,1.3591289177501102,American Porter
28,1.3602434028313632,Bière de Champagne / Bière Brut
93,1.3634232159285076,Schwarzbier
97,1.3647908778649749,Smoked Beer
45,1.3651574441234062,English Dark Mild Ale
10,1.3675740895799875,American Double / Imperial Pilsner
83,1.3676070674204415,Oatmeal Stout
70,1.369459833009025,Keller Bier / Zwickel Bier
74,1.3707459647076572,Lambic - Fruit
79,1.370868889144423,Milk / Sweet Stout
12,1.3725294814962787,American IPA
51,1.3730677470051018,English Strong Ale
87,1.3743371749672386,Rauchbier
59,1.3752228892971947,Foreign / Export Stout
98,1.3775580757711996,Tripel
57,1.3777423054514832,Flanders Oud Bruin
27,1.37797151193925,Berliner Weissbier
88,1.378672043468211,Roggenbier
37,1.3787556995280261,Doppelbock
19,1.3791115998180963,American Strong Ale
91,1.3791238385841404,Sahti
49,1.3808034837172,English Porter
26,1.3809009518494337,Belgian Strong Pale Ale
29,1.3819873102048525,Bière de Garde
43,1.3825291447911252,English Bitter
50,1.3826213848457458,English Stout
32,1.3830196423000416,Braggot
58,1.3833387356917455,Flanders Red Ale
100,1.3837507090840235,Weizenbock
94,1.386286179739496,Scotch Ale / Wee Heavy
56,1.394848244149458,Faro
25,1.3955118621084206,Belgian Strong Dark Ale
5,1.3998285085785958,American Black Ale
84,1.401414520332836,Old Ale
92,1.403752922608539,Saison / Farmhouse Ale
23,1.4055492582334692,Belgian IPA
21,1.4122128152581837,Baltic Porter
9,1.4158972822799076,American Double / Imperial IPA
20,1.417782642536649,American Wild Ale
42,1.4199640769188064,English Barleywine
4,1.4204878461352017,American Barleywine
101,1.4219238417670237,Wheatwine
86,1.430644841629031,Quadrupel (Quad)
11,1.4366166039752333,American Double / Imperial Stout
63,1.4400691414065345,Gueuze
75,1.4419658344125486,Lambic - Unblended
41,1.4429116941638547,Eisbock
89,1.448171016997353,Russian Imperial Stout
62,1.4505584836961756,Gose
