beer_beerid,beer_name,beer_style,distance
61427,Caldera Rose Petal (Kettle Series),American Blonde Ale,0.0
35791,Lagonda IPA,English India Pale Ale (IPA),0.14121238486714247
16792,Sapporo Namashibori Mugi 100%,Happoshu,0.14606211261481106
23613,Jurand Mocne,Euro Strong Lager,0.17453653667218694
55993,Max Pumpkin Wit,Pumpkin Ale,0.1752665422866564
37500,Suntory The Premium Malt's (Kuro),Schwarzbier,0.22753698033226025
40860,Bitter Harvest APA,American Pale Ale (APA),0.2275940365087242
30787,Empirical Staught,American Double / Imperial Stout,0.24042915452380567
25725,Topvar Patriot (14% Svetlý špeciálny Ležiak),Czech Pilsener,0.2505669747683136
37505,St. Bruno Bière Brune Sur Lie,Flanders Oud Bruin,0.2585949603849062
62896,Zeltbier,Märzen / Oktoberfest,0.26567877780044413
71576,Birrolo,Belgian IPA,0.2821488030340172
41051,Barker's Bitter,English Bitter,0.287717772240801
32277,Dikanski Vechori,Munich Dunkel Lager,0.29158359319720056
25744,Amber Waves Ale,American Amber / Red Ale,0.29923113572025856
47708,Hop Flake,American Pale Ale (APA),0.3031272205113011
9350,Munich Dunkel (Tavern Lager),Munich Dunkel Lager,0.31523495798226964
4099,Leeuw Valkenburgs Witbier,Witbier,0.3213211667276818
27004,Michelob Celebrate Vanilla Oak,American Pale Lager,0.3321308884334377
74537,S'more Tuesday,American Double / Imperial Stout,0.33324657208653385
6678,Fish Tale River Run,Rye Beer,0.3420899181573496
33884,Egger Märzenbier,Vienna Lager,0.3465576855289471
52995,Stoya,Euro Pale Lager,0.3507418525792849
49199,Cazeau Tournay De Noël,Belgian Dark Ale,0.35090688181550433
37585,Alpen Brau,Euro Pale Lager,0.3575882240944429
13688,Southern Flyer Light,Light Lager,0.36145470529020923
5456,Vergina Red Lager,Euro Dark Lager,0.3620921091865618
62064,Apple Brandy Brown,English Brown Ale,0.3671745313212181
15242,Hoppy Holidays,American IPA,0.37004701675854945
70789,La Corne Et La Muse,Scotch Ale / Wee Heavy,0.3714014748732404
45109,Highland Clawhammer Oktoberfest,Märzen / Oktoberfest,0.3715080380408341
74512,Punktoberfest,Märzen / Oktoberfest,0.37493711020159715
77215,Oaked Golden Cap,Saison / Farmhouse Ale,0.3776834650318546
42481,Schnitzerbräu Hirse Premium,German Pilsener,0.3808101744337869
59987,Summer Love,American Blonde Ale,0.38197324006556466
53910,Alliance PX Reserve 2007,English Barleywine,0.38711286953472973
55395,Islander Pale Ale,American Pale Ale (APA),0.38781131322066936
25707,Bear Bottom Oatmeal Stout,Oatmeal Stout,0.39821201710500065
2900,Howard Street IPA,American IPA,0.40037091318114804
40481,Jerome Cervenza Nochebuena Ale,Belgian Dark Ale,0.40121993804200523
17771,Peligrosa Red,American Amber / Red Ale,0.40193442247421574
38596,Premium Pils,German Pilsener,0.41414319598617017
10313,Nor' Wester Dunkel Weizen,Dunkelweizen,0.41523646587018476
28551,Simcoe Pale Ale,American Pale Ale (APA),0.42342483048695734
30373,One & Done 2003,Old Ale,0.4236212505458592
20326,Pilsen,German Pilsener,0.42525975874950106
63370,Amber Ale,American Amber / Red Ale,0.43055510483730464
54743,Bocq Christmas,Belgian Strong Dark Ale,0.43183936361424863
57117,Schwarzbier,Schwarzbier,0.43219886244929057
29128,Hardway IPA,American IPA,0.43327299598965996
49990,John Harvard's Light,American Pale Ale (APA),0.4339204987347819
76987,Conqueror 1075,English India Pale Ale (IPA),0.43397991815679776
73339,Midnight Lager,Schwarzbier,0.43556136323830297
72448,Little Chocolate Doughnuts,American Porter,0.43936432073136567
17215,Kraftbräu Blonde Trippel,Tripel,0.44568077602216655
8937,Saison 1900,Saison / Farmhouse Ale,0.4489605235259129
9396,Hooptie Ride Red Rider Ale,American Amber / Red Ale,0.4494760611452026
57299,Wet Hop Ale,American Pale Ale (APA),0.45097522961982206
67457,Twister Creek IPA,American IPA,0.4513886619283387
43646,Plum,Fruit / Vegetable Beer,0.453725783947767
666,Hacker-Pschorr Dunkle Weisse,Dunkelweizen,0.46577785985941167
22824,Wild Old Ale,Old Ale,0.4661458484088722
73574,Cinco Mil,Chile Beer,0.46631615353379546
19292,Bug Jar Brown Hornet Ale,Altbier,0.4670963849118378
59702,Flagstaff Agassiz Amber,American Amber / Red Ale,0.4711786331466475
46442,Hummel Weizen-Bock,Weizenbock,0.4718757672324685
25574,Amber,American Amber / Red Ale,0.4720174621594046
39280,Horse Heaven Hefeweizen,Hefeweizen,0.4759826508328643
65159,Krušovice 10° Pořádná Desítka,Czech Pilsener,0.4766002501538407
34542,Sleggehammer,American Barleywine,0.48133343240230875
26804,St Urbanus Bock,Doppelbock,0.4821192540977521
27009,La Djean D' Mady,Belgian Pale Ale,0.48317043514658853
74590,Imperial Bock,Bock,0.48420484931718916
7312,Tongerlo Christmas,Belgian Pale Ale,0.48806228333566265
23887,IPA,American IPA,0.4887787898398049
45074,Pumpkin Ale,Pumpkin Ale,0.4903249244118397
35886,Spalter Helles Vollbier,Munich Helles Lager,0.49261136945427414
56554,Funnel Blower,English Porter,0.49406128350407
62944,Amber Ale,American Amber / Red Ale,0.4971174470187646
17785,Halfmoon IPA,American IPA,0.49772884835992764
64694,Olde Peninsula Double IPA,American Double / Imperial IPA,0.4994722336024134
61300,Super ESB,English Strong Ale,0.500156958441286
77184,Improv - White Oak Aged,American Brown Ale,0.5003122160974303
75843,Beer Goggles Lager,Vienna Lager,0.5037691829548046
39598,Honey Lager,American Amber / Red Lager,0.5077030762380904
9147,Aneytown Pale Ale,English Pale Ale,0.5085210138665193
32070,Winsome Wheat,American Pale Wheat Ale,0.5099474035749256
6875,Wild Rose Brown,English Brown Ale,0.5103018898544894
25603,Belgian IPA,Belgian IPA,0.5103545251805497
